# EventNumber	SB0_Raw_ADC_Value	Timestamp
3486	1535	1150812884
3491	1699	1152618396
3492	1736	1152886801
3499	1637	1155661748
3507	1701	1156853434
3511	1668	1158758991
3512	1719	1158928344
3516	1714	1159144898
3518	1695	1159883795
3530	1031	1165882912
3540	1743	1168580873
3541	1697	1168585535
3545	1692	1170000128
3547	1716	1170704138
3548	1686	1171794950
3562	1750	1174271146
3563	1745	1174544646
3577	1704	1179585857
3578	1713	1179724511
3585	1676	1180543345
3587	1679	1180930991
3596	1691	1182317824
3607	1737	1186995576
3611	1746	1188011103
3613	1719	1188754435
3632	1689	1194721437
3642	1706	1198994888
3646	1665	1199661851
3649	1733	1200904122
3651	1719	1201933598
3662	1709	1206548431
3671	743	1209850413
3673	1663	1210140710
3687	1645	1213894248
3693	1682	1216487556
3702	1755	1220634474
3706	1733	1221665551
3709	1705	1222889396
3727	1725	1230569537
3728	1712	1230580717
3731	1676	1231059170
3742	1685	1234373895
3743	1713	1234404060
3744	1704	1234715076
3756	1679	1238768607
3767	1716	1241076215
3768	1729	1241098328
3770	1670	1241658131
3777	1732	1243356731
3782	1687	1246311789
3790	1724	1248405320
3792	1742	1248624694
3809	1683	1254279518
3810	1720	1254715501
3821	1681	1258967592
3829	1697	1261194639
3838	1758	1266895658
3840	1705	1267374849
3848	1767	1269249072
3853	1662	1271002022
3857	1770	1272052634
3861	1723	1274246230
3863	1702	1274597180
3864	1755	1274615994
3886	1727	1281450166
3887	1716	1282128075
3890	1707	1282339668
3892	1742	1282546071
3894	1702	1283443786
3898	1730	1284970882
3904	1714	1289004548
3916	1715	1292771536
3926	1669	1294038867
3929	1761	1295448285
3931	1701	1295709612
3935	1694	1296428177
3937	1755	1297566782
3939	850	1298336455
3943	1754	1299078685
3951	1678	1300936055
3956	1702	1303322419
3960	1720	1304405271
3966	1677	1307663277
3970	1777	1308293719
3974	1683	1309131517
3985	1737	1313916304
3988	1741	1314294626
3990	1763	1314765256
3994	1739	1315467934
3996	1766	1316125027
4003	1695	1317455195
4005	1700	1317926540
4012	1740	1321601897
4034	1699	1330479747
4039	1725	1332170373
4040	1678	1332964939
4048	1668	1335344564
4053	1695	1336920279
4058	1658	1337789350
4078	1743	1342490057
4082	1716	1343242111
4087	1683	1345146349
4090	1703	1345376157
4115	1679	1353092670
4116	1680	1353146994
4128	1716	1355990035
4134	1675	1356652806
4137	1676	1356953460
4138	1733	1357099897
4145	1719	1358045169
4151	1669	1360088581
4152	1679	1360670031
4168	1748	1363695865
4172	1717	1364489667
4175	1708	1365139245
4181	1690	1366273370
4199	1691	1370782818
4208	1701	1373173434
4233	1754	1378343760
4236	1673	1378726402
4241	1733	1381320707
4244	1723	1382609421
4258	1747	1386848029
4261	1711	1390050607
4293	1740	1399176575
4295	1701	1399627846
4308	1696	1402216343
4313	1745	1403730880
4319	1719	1405224241
4322	1671	1405976608
4351	1661	1418222238
4372	1738	1424933090
4375	1360	1425596152
4382	1756	1427577331
4383	1690	1427870954
4386	877	1430030988
4387	982	1430073574
4389	1282	1431794616
4391	1707	1432717456
4399	1778	1433741285
4410	1673	1437141385
4421	1698	1440640934
4423	1694	1441095933
4426	1683	1441907031
4434	1712	1442968793
4436	1718	1443565988
4452	1551	1447638506
4460	1770	1451946545
4463	1529	1453192838
4464	1706	1453298822
4465	1710	1453607163
4470	1699	1454164291
4473	1685	1455553222
4482	1691	1458088530
4489	1741	1459775250
4494	1708	1461487012
4504	1653	1465959870
4508	1668	1466505023
4509	1668	1466646616
4516	1753	1470698346
4556	1749	1483462421
4560	1676	1484726929
4567	1730	1486247034
4568	1715	1486416607
4577	1692	1491767991
4578	1652	1491832385
4585	1730	1495033808
4588	1722	1495692381
4603	1679	1500781079
4611	1704	1503177353
4614	1738	1505039713
4626	1757	1508677930
4628	1693	1511370547
4631	1715	1513138603
4633	1727	1513823337
4639	1773	1515226037
4640	1734	1515609617
4649	1761	1519628937
4650	1753	1520036493
4652	1677	1520855618
4653	1682	1521490838
4656	1727	1522056414
4681	1774	1527773760
4684	1672	1528559881
4687	1635	1529473863
4689	1687	1532004461
4691	1720	1532861730
4693	1696	1534015365
4704	1735	1538006337
4709	1719	1539062713
4717	1538	1541499433
4721	1758	1543523735
4726	1704	1545864742
4727	1387	1546142744
4730	1657	1547491045
4736	1737	1548413661
4740	1748	1549176382
4744	1746	1552195661
4750	1712	1553742612
4755	1757	1554868218
4759	1739	1555926973
4762	1657	1556541097
4764	1702	1557498498
4770	1688	1559863531
4776	1698	1562297505
4782	1752	1564135983
4784	1716	1564796876
4785	1691	1565122508
4788	1744	1566616078
4794	1696	1567804449
4798	1708	1568856388
4802	1698	1572134742
4808	1703	1573383213
4809	1692	1573916456
4811	1726	1574330015
4816	1697	1576558371
4818	1661	1579482463
4823	1738	1582563646
4834	1752	1587007949
4855	1702	1594054356
4858	1674	1594415122
4864	1717	1596330494
4866	1699	1597202967
4876	1740	1598694442
4881	1699	1599491331
4895	1723	1602547701
4898	1759	1603673939
4903	1747	1606183213
4911	1696	1608199945
4931	1751	1611986174
4936	1699	1614865297
4938	1714	1615244122
4939	1725	1615529858
4941	1740	1616140496
4942	1695	1616443994
4943	1747	1617214299
4948	1694	1618520384
4967	1704	1625413562
4973	1701	1627796414
4980	1705	1631517950
4985	1728	1635867840
